onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.05459999999999354	0.0	+	1	noun	phrase	1	1	nomatch	noir	-1	1	p	0.79123
0.5376999999999938	0.2	kmfxb	1	noun	phrase	1	2	nomatch	noir	-1	1	p	0.79123
0.7376999999999967	0.0	+	1	noun	phrase	1	3	nomatch	noir	-1	1	p	0.79123
1.1374999999999957	0.2	jqbv	1	noun	phrase	1	4	nomatch	noir	-1	1	p	0.79123
1.3373999999999953	0.0	+	1	noun	phrase	1	5	nomatch	noir	-1	1	p	0.79123
1.7371999999999943	0.2	rdq	1	noun	phrase	1	6	nomatch	noir	-1	1	p	0.79123
1.9370999999999938	0.0	+	1	noun	phrase	1	7	nomatch	noir	-1	1	p	0.79123
2.336999999999996	0.2	fnvpbld	1	noun	phrase	1	8	nomatch	noir	-1	1	p	0.79123
2.5368999999999957	0.0	+	1	noun	phrase	1	9	nomatch	noir	-1	1	p	0.79123
2.9366999999999948	0.2	bleu	1	noun	phrase	1	10	nomatch	noir	-1	1	p	0.79123
3.1365999999999943	0.0	+	1	noun	phrase	1	11	nomatch	noir	-1	1	p	0.79123
3.5534999999999997	0.0	+	1	noun	phrase	1	12	nomatch	noir	-1	1	p	0.79123
5.535499999999999	0.0	NOIR	1	noun	phrase	1	13	nomatch	noir	-1	1	p	0.79123
6.3851999999999975	0.0	+	1	noun	phrase	1	14	nomatch	noir	-1	1	p	0.79123
6.326799999999999	0.0	[response]	1	noun	phrase	1	15	nomatch	noir	-1	1	p	0.79123
7.9345	0.0	+	2	noun	list	1	1	nomatch	plonger	-1	1	p	0.47374
8.484199999999994	0.2	wgsn	2	noun	list	1	2	nomatch	plonger	-1	1	p	0.47374
8.684099999999994	0.0	+	2	noun	list	1	3	nomatch	plonger	-1	1	p	0.47374
9.0839	0.2	ctdq	2	noun	list	1	4	nomatch	plonger	-1	1	p	0.47374
9.283899999999996	0.0	+	2	noun	list	1	5	nomatch	plonger	-1	1	p	0.47374
